owning_agency_name,reporting_agency_name,submission_period,allocation_transfer_agency_identifier_code,agency_identifier_code,beginning_period_of_availability,ending_period_of_availability,availability_type_code,main_account_code,sub_account_code,treasury_account_symbol,treasury_account_name,agency_identifier_name,allocation_transfer_agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,gross_outlay_amount,last_modified_date
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),11.6,Military personnel - basic allowance for housing,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",12958.00,0.00,16060.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),22.0,Transportation of things,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",23546.15,-13556.30,48510.97,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),23.3,"Communications, utilities, and miscellaneous charges",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",4177.53,0.00,4177.53,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),24.0,Printing and reproduction,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",27257.74,-0.84,41341.50,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.1,Advisory and assistance services,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",114761924.90,-84373983.79,119155155.16,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.2,Other services from non-Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",19190.42,-830.60,565948.65,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.3,Other goods and services from Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",15733546.79,0.00,17225458.59,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),12.2,Military personnel benefits,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",90849.39,-4306.57,105093.50,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),21.0,Travel and transportation of persons,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",2272640.02,-109072.02,2204363.88,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),12.1,Civilian personnel benefits,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",2474519.92,-1911.39,2126987.93,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),41.0,"Grants, subsidies, and contributions",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",156568683.00,0.00,77929172.52,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),31.0,Equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",144431.63,-38071.49,767721.31,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),26.0,Supplies and materials,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",848272.20,-119225.58,18125367.77,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.7,Operation and maintenance of equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",4614810.77,-2683.00,4632244.21,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.6,Medical care,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",1277.50,0.00,1277.50,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.5,Research and development contracts,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.4,Operation and maintenance of facilities,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",229295.67,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),11.1,Full-time permanent,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",1604105.81,-9241.33,1411380.47,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2024,,0943,000,075-2020/2024-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),11.3,Other than full-time permanent,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",5395118.06,-13370.54,4603961.80,2021-01-28
